unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text,type
B0006G0RSI:good_little_speakers!:folsom_mom,B0006G0RSI,Altec Lansing inMotion iM3 - Portable speakers - 4 Watt (total): Electronics,electronics,1 of 1,4.0,Good little speakers!,"April 14, 2006",Folsom Mom,"Folsom, Ca.","I am very happy with this product. It folds super slim, so traveling with it is a breeze! Pretty good sound - not Bose quality, but for the price, very respectable! I've had it almost a year, and it has been along on many weekend get-aways, and works great. I use it alot, so it was a good purchase for me",1
B0006ZSW1S:excellent_option_to_avoid_camera_cables:k._koesling,B0006ZSW1S,"Kodak 8 - in - 1  Multi-card Reader, KRW8IN1SCS: Electronics",electronics,,5.0,Excellent option to avoid camera cables,"November 19, 2006",K. Koesling,"Caracas, Venezuela","I bought this reader because I wanted to avoid having my camera and all its cable attached to my pc to download the pictures; and with this reader I could leave my camera (and its cables) in its case and just download the picture with the memory card, I recomend this product....",1
B0001DI6FW:does_the_job:ks,B0001DI6FW,Targus PAUH212U 7 Port USB 2.0 Hub: Electronics,electronics,2 of 3,5.0,Does the job,"October 22, 2005",ks,New Jersey,"It's a simple device, so there's not to say about it other than it does the job. You should note that the LEDs on the device remain lit as long as the device is plugged into your PC and the PC is powered (they glow a bright blue).",1
"B0000CD08M:great_product:h._knox_""h._knox""",B0000CD08M,SanDisk SDCFH-512-901 512 MB Ultra II CompactFlash Card (Retail Package): Electronics,electronics,,5.0,Great Product,"February 20, 2006","H. Knox ""H. Knox""","Baltimore, Md.","I was thinking about buying a 1G card, but after reading one of the reviews,I bought two 512 card,just in case that something
went wrong. Which to me made a lot of sense. I'm please",1
"B0000CD08M:a_sandisk_fan:audra_m._fischenich_""miranda1776""",B0000CD08M,SanDisk SDCFH-512-901 512 MB Ultra II CompactFlash Card (Retail Package): Electronics,electronics,1 of 7,5.0,A SanDisk Fan,"October 20, 2005","Audra M. Fischenich ""Miranda1776""","Mountain View, CA",I have always been very pleased with the SanDisk products. I would highly recommend them,1
B000BKE8QQ:almost_perfect:shawn_fitzgibbons,B000BKE8QQ,Altec Lansing inMotion iM716 Headphones: Electronics,electronics,,4.0,Almost perfect,"September 8, 2006",Shawn Fitzgibbons,,"These earphones are great quality. The sound is good and they fit comfortably in the ear once you get used to them. Two minuses make them only 4 out of 5 stars: first, the customer support is weak. There is supposed to be a website for the product for customer support and replacement parts, but Altec Lansing his it linked to a seemingly unrelated product; second, the volume control is a little heavy unless you have somewhere to clip it to (this might be a problem for runners)",1
"B0002MSTW2:fast_reader/writer_:shawn_m._matheson_""smatheso""",B0002MSTW2,Lexar Media 1 GB 80x Pro Series Compact Flash Card (CF1GB-80-380): Electronics,electronics,9 of 10,5.0,Fast Reader/Writer,"March 3, 2006","Shawn M. Matheson ""smatheso""","Spokane, WA USA",This CF card is so fast that I can run my shutter on my camera non stop until the card is full at a frame rate of 3.5 fps. No lag or slow down. That is amazing. It makes my camera perform better. (Canon Rebel XT,1
B00083XXZS:sandisk_2_gb_ultra_ii_memory_stick_pro_duo:l._m._kasik,B00083XXZS,SanDisk 2 GB Ultra II Memory Stick PRO Duo: Electronics,electronics,1 of 1,5.0,SanDisk 2 GB Ultra II Memory Stick Pro Duo,"August 27, 2006",L. M. Kasik,Southern Ca...USA,fast and reliable..well worth the mone,1
B00083XXZS:big_&_fast!:ikesingle,B00083XXZS,SanDisk 2 GB Ultra II Memory Stick PRO Duo: Electronics,electronics,2 of 2,5.0,Big & Fast!,"July 31, 2006",iKESingle,"Bay Area, CA USA","Perhaps the ultimate addition to a good camera. I used my camera with a SanDisk Pro Duo (the blue one...) and while most times it was fine, when I needed to take pictures in quick succession - it let me down. The Ultra II is noticably faster. You will not regret buying this",1
"B00016L0VQ:not_the_right_item:charles_w._fain_""chuck""",B00016L0VQ,"Sandisk 512 MB Secure Digital Ultra II (SDSDH-512-901, Retail Package): Electronics",electronics,0 of 6,5.0,Not the Right Item,"August 6, 2006","Charles W. Fain ""Chuck""",Florida,"The Sandisk 512 MB Secure Digitial Ultra II (SDSDH-512-901) sent to me was not the item I ordered.  I returned the item, unopened",1
"B00065AO0K:nice_product,_does_the_job_nicely_._._.:jennifer_l._heupel_""dvd_fan""",B00065AO0K,SanDisk SDSDH-1024-901 1 GB Ultra II Secure Digital Memory Card (Retail Package): Electronics,electronics,,5.0,"Nice product, does the job nicely . . .","November 14, 2006","Jennifer L. Heupel ""DVD Fan""",Laramie WY,"definitely recommend this memory card, download time is great . .",1
"B00065AO0K:fast,_really_faster_than_my_old_ones:bill_""bill""",B00065AO0K,SanDisk SDSDH-1024-901 1 GB Ultra II Secure Digital Memory Card (Retail Package): Electronics,electronics,,5.0,"fast, really faster than my old ones","November 13, 2006","Bill ""Bill""",Louisiana,"I am happy to have several Sandisk products, and all of them are excellent.",1
B00065AO0K:the_perfect_add_on_for_your_camera:pamela_deshazo,B00065AO0K,SanDisk SDSDH-1024-901 1 GB Ultra II Secure Digital Memory Card (Retail Package): Electronics,electronics,,5.0,The Perfect Add On For Your Camera,"November 12, 2006",Pamela DeShazo,,The SanDisk SDSDH-1024-901 is absoultely worth the extra money if you love to take many pictures without worrying about how many pictures are left for you to take. It is great to use with mini-videos if your camera has this feature,1
B0000B3AKR:cheap_option:b._finzi,B0000B3AKR,Viking USB00512L2 512 MB USB 2.0 Portable Mini Flash Memory Device: Electronics,electronics,,5.0,Cheap option,"February 23, 2006",B. Finzi,Brazil,The cheapest option I found at the time but an excelent pen drive. Small and with a good style,1
"B0000B3AKR:it's_great,_but_has_one_small_problem.:t._domingo",B0000B3AKR,Viking USB00512L2 512 MB USB 2.0 Portable Mini Flash Memory Device: Electronics,electronics,,4.0,"it's great, but has one small problem.","February 21, 2006",T. Domingo,"Kent, WA USA","It works great!  I really like it.  There is one small problem though.  The lid is REALLY hard to take off!  I've had it now for about a month and have gotten lots of use out of it and it has loosened up a little, but not much.  There has got to be a way to make a lid that stays on, but isn't quite so hard to remove when a person wants to use it.  I appreciate being provided with a forum to voice my opinion",1
B00064V6R6:card_reader:c._legarra,B00064V6R6,SanDisk CF Type I/II ImageMate USB 2.0 Reader/Writer (Model SDDR-92-A15): Electronics,electronics,3 of 3,4.0,Card Reader,"August 7, 2006",C. Legarra,Ca - USA,Works well with or without software installed.  Good for home use and school or traveling.,1
B000BBCTHU:wish_i_had_gotten_a_bigger_one!:a._hart,B000BBCTHU,Wacom Graphire4 4x5 USB Tablet (Silver): Electronics,electronics,,4.0,wish I had gotten a bigger one!,"November 19, 2006",A. Hart,,This technically works well.  I am finding learning to use it difficult.  I really wish I had spent a little more and gotten a bigger one!!!!!  It is a lot smaller than I thought it would be and would be alot easier if it was bigger,1
B000BBCTHU:excellent_beginners_tablet:4nr,B000BBCTHU,Wacom Graphire4 4x5 USB Tablet (Silver): Electronics,electronics,8 of 8,5.0,Excellent beginners tablet,"August 21, 2006",4nR,the intuos line,"I was considering purchasing a tablet and Wacom was consistantly recommended.  I was originally hesitant to buy the graphire line because I didnt think it would be very good for drawing compared to the top line (the intuos line).  I was pleasantly surprised to be proven wrong.  Installing a driver was a piece of cake and I began drawing away in minutes.  It is very responsive and works with all my drawing programs (paintshop pro, painter, photoshop).  The mouse is pretty useless however, and I would have preferred if they had included some extra pen tips instead (they seem to wear out, though I do press pretty hard).  Other than that, its an amazing product",1
B00070QI1S:kingston_1gb_sd_card_review:eugene_ong,B00070QI1S,Kingston 512MB Elite Pro Secure Digital Memory Card ( SD/512-S ): Electronics,electronics,1 of 1,5.0,Kingston 1GB SD Card Review,"November 9, 2006",Eugene Ong,,Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.,1
"B0002IWC9C:great:p._valbuena_""paulty""",B0002IWC9C,Sony BCG-34HE4 Super-Quick Worldwide Battery Charger with 4 AA NiMH Batteries: Electronics,electronics,,5.0,great,"November 10, 2006","P. Valbuena ""paulty""","San Jose, CA","Great batteries for cameras. They charge quickly, and it's handy to keep the extra 2 spare in the charger and with me all the time ""just in case""",1
B000ER23M2:an_unexpected_surprise:c._s.,B000ER23M2,Logitech NuLOOQ Navigator (965162-0403): Electronics,electronics,5 of 7,5.0,An unexpected surprise,"July 23, 2006",C. S.,"Albany, NY","I bought the NuLOOQ product a few weeks ago with little expectation and actually with some doubts it'd do anything for me, as I'm a keyboard junkie.  The product description was a bit confusing as it seems like ti does a lot.  But what a surprise.   Just adjusting the brush size using the ipod like scroll disc on the device is worth the price.  The pop-up menu thing is cool.  I don't use it as much for putting tools, but putting my files and folders into that menu keeps things in one place.   I guess the product also lets you pan and zoom around, but I don't seem to use that as much.  I still like using my mouse to pan and zoom around.

Hey, I was skeptical about the product like anyone else, but  found myself a rare surprise.  Good job Logitech",1
B0000AKVHF:great_product!:firas_alragom,B0000AKVHF,SanDisk SDDR-88-A15 8-in-1 USB 2.0 Hi-speed Reader (Retail Package): Electronics,electronics,,5.0,Great product!,"September 1, 2006",Firas Alragom,Kuwait,"I've had this product for well over a year now and was using it with my XP machine and am now using it with my Apple Mac Mini. Works great with both Windows and Mac OS X, with no hassles. The removable stand is a nice touch, as you can pack the reader into a laptop bag or lay it horizontally if you prefer. Highly recommended",1
B0002KQRBY:good_quality_discs`:vrdumbos,B0002KQRBY,"Velocity DVD-R 4X 4.7GB, 10-Spindle: Electronics",electronics,13 of 15,5.0,Good Quality Discs`,"November 8, 2004",vrdumbos,"Denver, CO","I have burnt a few discs and so far no coasters, They are burning at 8X in my NEC 2500A burner. That is pretty considering that it is advertised at 4X. Hopefully the burn quality also will be good and will last for a few years",1
"B0000AKVJC:fast_delivery,_good_product:marc_hutchins",B0000AKVJC,SanDisk SDSDB-512-A10 512 MB Secure Digital Card (Retail Package): Electronics,electronics,,5.0,"fast delivery, good product","November 11, 2006",Marc Hutchins,,"shipping was outrageous, thought it qualified for free shipping since it is the size of a F'n postage stamp, but i ended up paying 1 cent less for postage than I did for the item, could have bought it at walmart for less this way. Buyer beware, I got took",1
B000AY0HTU:wonderful_keyboard:john_rosney,B000AY0HTU,Logitech G15 Gaming Keyboard: Electronics,electronics,,4.0,Wonderful Keyboard,"November 10, 2006",John Rosney,,"This is the second G15 keyboard I've purchased, not because the first one broke, because it's such a great keyboard. Now I keep one at home, and take one with me when I go LANning.  The only issue with the keyboard is the LCD is pretty useless is fast paced FPS games, otherwise it's good for keeping the clock up so one doesn't lose track of the time",1
B000A2K3XW:very_good_tv:rick_d._tucker,B000A2K3XW,"Sony KDFE42A10 42"" LCD Rear Projection Television: Electronics",electronics,,4.0,Very Good TV,"November 20, 2006",Rick D. Tucker,"Oklahoma, USA","I'm very happy with the set.  Although not listed in the specs, it must have a QAM tuner, because I am able to watch unscrambled digital broadcasts through my cable service even though all I have is basic cable.  I was thrilled when I made this discovery.  Watching football games in HD, without paying for digital cable, almost made me weep with happiness.

The picture quality for analog channels is only so-so.  I really wish the remote was illuminated.  Also, Amazon took much longer to deliver the TV than was promised.  Other than these negatives, I'm very happy",1
"B000A2K3XW:very_happy_football_fan_!!!:theodore_m._amenta_""breckenridge_realtor""",B000A2K3XW,"Sony KDFE42A10 42"" LCD Rear Projection Television: Electronics",electronics,,5.0,Very happy football fan !!!,"September 21, 2006","Theodore M. Amenta ""Breckenridge Realtor""",Breckenridge Colorado,"My new TV finally arrived and I am very pleased with it.  I picked this one based primarily on all of the reviews I could find online, the vast majority of which were very positive (cNet has lots of reviews as well).  Also, I have two friends who are cable guys and they see all kinds of TVs, all day every day, and both of them bought this exact set for themselves.

My cable provider does not offer many High Def stations yet so the image quality of Standard Def video was the primary criterion for me.  Most reviews were very positive in this regard but there were some that were the exact opposite.  My first impression had me rather worried.  I have since come to believe that poor quality Standard Def video is just a matter of garbage in = garbage out.  I began to suspect this when I noticed that some stations looked much better than others.  In fact, some shows and commercials on any given station looked much better than those which preceded or followed them.  I became convinced as I watched a cable news show where the host and two contributors were each on different cameras being displayed at the same time.  The video of the host looked OK, the video of one contributor was poor, and the video of the other contributor looked great.  The video quality of the various individuals remained consistent when they were occasionally displayed individually on the entire screen.  The set certainly has the ability of displaying fantastic Standard Def video.  I expect that I just never noticed the variability of video quality on lesser TVs.

The quality of the Hi Def Video is breath taking.

Set-up was simple and I have not even bothered yet to read the manual.  Of course the display can be adjusted in many ways, but it looks good to me with the factory presets and I do not intend to adjust the display anytime soon.  Flipping through the on screen menu, I stumbled across the altitude setting which was a nice surprise since I live at 10,000 ft. above sea level.

I was a little disappointed with the delivery situation.  I thought I had ordered the TV in time to have it by opening day kick-off.  Instead it arrived just in time for the third weekend of the football season, and I was told that it could easily have been another week beyond that.  I blame the shipper (Eagle USA) for this, not Amazon.  I say this because I could track the package enough to know that Amazon had the TV picked up right away.  But then Eagle USA kept it sitting in Dallas for almost 2 weeks, and then in Denver for another week, before finally calling me to arrange for delivery.  I believe that if I had not called and emailed Amazon to complain about the delay, it would have taken longer.  Eagle USA told Amazon that they had tried to call me sooner but I know that this is not true for two reasons: 1) I had called Eagle USA the same day they told Amazon this and Eagle USA told me that they had no intention of calling me until a day or so prior to delivery, and 2) my livelihood depends on people being able to reach me at all times and I have a very good message and caller ID tracking system in place.

All in all, a great set at a great price, I just wish I had ordered and started pushing the issue sooner",1
B000B622CW:if_i_knew_then_what_i_know_now..._i'd_still_buy_it._:geoffrey_grace,B000B622CW,Griffin Technology 4026-LCDT iTrip LCD FM Transmitter for iPod: Electronics,electronics,1 of 1,4.0,If I knew then what I know now... I'd still buy it.,"September 11, 2006",Geoffrey Grace,"East Lansing, MI","So, I was a little weary to buy an iTrip after hearing some mixed reviews. It seemed that a perosn either had horrible luck with theirs... or the iTrip worked perfectly. Knowing my luck, it wouldn't work for me at all. I recieved my iTrip and my luck started right away. I tossed the iTrip onto my iPod and..................... nothing. A bad omen? Well, after I exchanged my iTrip for a new one I tried it out on a short drive. I live in East Lansing, MI... and we have a very crowded FM dial. I couldn't find a completely blank station as recommended... but it didn't matter. My iTrip delivered decent sound through the station. As others have mentioned, charging your iPod while you use your FM transmitter will really help. It's not a night-and-day difference, but it's a noticeable improvement. Sure, I got some static and the occasional interference from a strong signal, but you know what? Through a good 40 minutes of driving, the majority of the time I had satisfactory sound. This was also on the weaker-signaled LX mode, not DX. Supposedly DX provides a better, stronger signal. 
This product is dependant on several outside factors. The reception your car gets and the availability of a clear FM channel. To rate this product poorly because of factors out of it's control is unfair. There were times when I had downright poor sound... and times where it was comparable to a tape deck. I love good, crisp sound as much as anyone does... but I'll take somewhat degraded sound over trying to find good music on the radio anyday. 

My recommendation after owning this product for a short time *but it has been used quite a bit already, as I do a lot of driving*, I say: If you can, buy a tape deck adaptor... but if it's not an option and you don't want to put the money into an ""ipod to car"" setup, this is a viable solution indeed. In my opinion, an iTrip is a better option than listening to plain, old radio.",1
B000050AOP:flawless:kirk_w_horne,B000050AOP,Hewlett Packard CD-Writer C4503A 9510i 12x8x32 Internal EIDE Kit: Electronics,electronics,2 of 2,5.0,Flawless,"February 5, 2002",Kirk W Horne,"Graham, NC United States","I have used the 9510i for about 2 years and have found it to be flawless in performance. The Disaster Recovery software provided with this drive is it's biggest star. You can format your hard drive, put in the restore disk that you create for your system, and in about 15 minutes your system is put back to EXACTLY the way it was when you created the disk. Or you can simply replace selected files if you want. It does not miss a single thing. Fanstastic. The software is extremely user friendly and guides you through the process easier than an &quot;ABC&quot; book. I would highly recommend this drive for performance and ease of use",1
B0009O5ITU:happy_with_the_purchse_for_the_price:j._fregelette,B0009O5ITU,Philips HTS3410/37 DVD Home Theater System: Electronics,electronics,2 of 3,4.0,happy with the purchse for the price,"March 25, 2006",J. fregelette,,"Nice sound, I will admitt for the price, I get big sound, with quality.  Only thing is a humming, hissing sound when machine is idle. Ohtherwise, worth it.",1
"B0001Q5SFU:product_desciption_could_be_more_specific:r._david_maurer_""david_maurer""",B0001Q5SFU,Targus PAUH216U 4 Port Slim USB 2.0 Hub: Electronics,electronics,3 of 10,5.0,Product desciption could be more specific,"May 28, 2006","R. David Maurer ""David Maurer""",St. Louis metro area,"I,ve seen complaints about the ac adapter you ""must"" plug in. Hey guys, try it without an outside energy source, I just hope I,m not gonna fry something but it seems to work fine just plugged into a powered USB port. I have a VERY high end system though with wattage to sprare, but no more PCI slots, Damn 7900 512 gtx graphics cards, why do 2 of em have to take up so much room. Oh well, trade offs are a bi---, but a reality and 7 extra USB slots are awfully nice",1
B0001Q5SFU:does_the_job:ks,B0001Q5SFU,Targus PAUH216U 4 Port Slim USB 2.0 Hub: Electronics,electronics,2 of 3,5.0,Does the job,"October 22, 2005",ks,New Jersey,"It's a simple device, so there's not to say about it other than it does the job. You should note that the LEDs on the device remain lit as long as the device is plugged into your PC and the PC is powered (they glow a bright blue).",1
B00029BQ98:great_budget_tv:c._d._pak,B00029BQ98,"Samsung LT-P1545 15"" Flat-Panel LCD TV: Electronics",electronics,,4.0,Great Budget TV,"November 14, 2006",C. D. Pak,,"I bought this TV for college, and it fits perfectly in my dorm. The picture quality is pretty decent, though compared to traditional TV, it is not as sharp.

The audio quality is very good. I was able to play Final Fantasy 12 with this TV, and the audio lives well for my expectations.

No lag while playing my Playstation 2 console...

The only downside is that if you want to switch from AV mode back to TV mode, you need to press ""SOURCE"" on the remote or the TV 4 times...and it's annoying waiting for it...but besides that, it's a very nice budget TV for anyone that wants a TV that can save you some money and space",1
B0002IOIMQ:charger_&_batteries_are_great:charley,B0002IOIMQ,Sony BCG-34HRMF4 Super Quick Charger with LCD Indicator and 4 AA Batteries: Electronics,electronics,,5.0,Charger & Batteries are great,"November 9, 2006",Charley,Arkansas,We used this charger with a DC inverter on a 6000 mile road trip to charge batteries for a Sony DSC-H5 camera and the batteries were almost unbelievable with lasting power between charges. The 2700mAh battery is great,1
B000BVB2FK:a_great_buy:nikos_antoniou,B000BVB2FK,Wacom Intuos3 6X11 Pen Tablet: Electronics,electronics,7 of 7,5.0,A great buy,"August 30, 2006",Nikos Antoniou,L.I. N.Y.,"The intuos3 6x11 tablet is nice because its like having a giant mouse pad. The mouse itself has five buttons that can be programed to do different tasks, opening programs is one of them. It also has a scroll wheel. On the pad there are more buttons that can open programs among other things. Also there are touch sensitive strips on the tablet that can be used for scrolling. I use the pen inside of art progams and it is a real joy to work with. The pressure sensitivity is is a very nice feature alowing you to go from a thin line to a thick line and vice versa. Its main high point for me is the ability it gives to draw curved lines and detailed lines. It fits nicely in hand and has comfortable rubber grip. Also you can flip the pen over and use that side as an eraser. The only complaint I have is that on the pen there are two buttons and one of them (the lower one) is placed in a spot where when I'm drawing my finger frequently hits it, because of this I simply had to make the button inactive. Over all I feel that Wacom has done a very good job of developing this product. I feel that it is of high quality and well worth the price. I would definetly save up the extra few dollars to get this larger tablet, it is nice to have if you have the desk space. I've heard Wacom is the best in the pen tablet industry and now that I own one I believe it",1
"B0009RGLSE:great_product:d._tennison_""donny_alaska""",B0009RGLSE,"SanDisk 2 GB SD Memory Card ( SDSDB-2048-A10, Retail Package): Electronics",electronics,,5.0,GREAT Product,"November 5, 2006","D. Tennison ""Donny_Alaska""","Anchorage, AK USA",Fabulous product --- now I can store over 700 photos in the 8 mega pixel range.    Happy I purchased this one -- very trouble free,1
"B00009R6VB:almost_a_must,_if_you_use_the_battery_grip:chris_hann",B00009R6VB,Hand Strap E1: Electronics,electronics,10 of 10,4.0,"Almost a must, if you use the battery grip","January 12, 2006",Chris Hann,"Alameda, CA United States","I wouldn't be without this. When I first bought the 20d it was my first digital SLR and I spent a few weeks adding and removing the battery grip and this strap. In the end I settled for using both and wouldn't have it any other way. With the battery grip and hand strap in place I find the camera much more secure and comfortable to hold. That's all there is to it, that's what it does and it does it well. 

On the down side, and it's a small and transient down side, actually fitting it to the camera and getting it adjusted to the exact right length for your hand is a bit fiddly and you'd sort of expect it to be insecure. I think the trick, security wise, is to make sure the bottom strap goes through the center buckle first, then it is locked in by the top strap which is already held securely at the junction with the neck strap (if used). I also don't like the attachment to the neck strap, I don't like having a fairly sharp edged piece of metal where it can rub against the chasis of the camera in normal use.

I use this on a 20d which typically has a 24-200 or 80-400 lens attached. You can only use this if you also use the battery grip, or buy a third party plate which attaches to the tripod mount and provides the lower mounting location. But since I always use the battery grip I don't have an issue. 

If Canon read this, you could do with a better solution for the attachment and adjustment on an accessory of this price, you normally pay close attention to detail and it's a bit lacking here",1
B0007PGADE:no_coasters_yet:jose_e._gonzalez,B0007PGADE,Memorex DVD+R 16x 4.7GB 50 Pack Spindle: Electronics,electronics,,5.0,No Coasters Yet,"September 6, 2006",Jose E. Gonzalez,"Eagle Pass, Tx",I have bought 50 and 100 pack spindles of Memorex and so far I have not had any problems. They work just fine on my Sony dvd burner,1
B0007PGADE:burns_right_every_time:mts4by5,B0007PGADE,Memorex DVD+R 16x 4.7GB 50 Pack Spindle: Electronics,electronics,,5.0,Burns right every time,"August 23, 2006",mts4by5,,Memorex DVD+R's are the best. Price keeps dropping and never have a problem,1
B0007PGADE:great_dvd_media:joel_laika,B0007PGADE,Memorex DVD+R 16x 4.7GB 50 Pack Spindle: Electronics,electronics,1 of 1,5.0,Great DVD media,"July 15, 2006",Joel Laika,,"I have burned over 100 of these in the past 6 months, I have only had 1 burn badly.  Haven't found a dvd player yet that they won't play in",1
"B0007WKB14:baby_this_baby.:bv1953_""8to16to35""",B0007WKB14,Panasonic DMR-ES10S DIGA Series DVD Recorder (Silver): Electronics,electronics,3 of 3,5.0,Baby this baby.,"May 23, 2006","BV1953 ""8to16to35""",Panasonic brand,"This is an excellent machine.  I bought two of them.  There are a few things you need to do.  I have had 100% satisfaction using FujiFilm DVD-R up to 8x.  I have had success with FujiFilm DVD+R up to 8x.  I`ve also had tremendous success with TDK DVD+R up to 4x and 8x.  Some other brands may not work.  One thing I`ve learned about this machine is that you have to baby it a little.  Don`t go recording 3 or 4 -R or +R DVDs every day.  Give it a rest between recordings.  One or two per day is okay.  Definitely give it room to breathe.  If you stack your machines on top of each other, put something in between so they can breathe.  Be sure not to block the ventilation holes on the sides.  You definitely need to buy a Panasonic DVD player to play back your DVDs - other brand DVD players may not play your recordings properly.

One of the greatest things about this machine is that it records DVD-RAM.  They are re-recordable for many, many times and each program can be erased when watched.  You can even edit the recordings on the DVD-RAM.  Cut out commercials and fit more on a disc or remove the commercials for when you watch the program.  Only works on the DVD-RAM.  I have over 50 DVD-RAM discs (Panasonic brand) - they sure take up less space than VCR tapes!

Get one or two of these recorders and a Panasonic DVD player and you`ve got it made!  Throw away your VCRs forever!  Just remember to baby them",1
"B0007WKB14:great_price,_easy_to_use!!:furtherburn",B0007WKB14,Panasonic DMR-ES10S DIGA Series DVD Recorder (Silver): Electronics,electronics,10 of 11,5.0,"Great price, easy to use!!","January 10, 2006",furtherburn,"City of Rock, NY","I bought this for my folks for Christmas.  It took no time at all to hook up, and making DVDs was simple.  Everything from recording off the TV, to recording movies and shows stored on the DVR, to transferring home movies from the original VHS tapes.  I'm sure for about $300 more you could purchase some higher end recorders, but for under $200, you really can't go wrong.  The only flaw I could find is that the initial hookup (according to the book) didn't seem quite right.  After taking a whole 2 minutes to look up the easy to read instructions online, everything went smoothly.  Because of that, I'm still going to give it a full 5 stars..it's not as if those 2 whole minutes ruined our life.  Really, if you're new to this technology, you're not going to have any problems..believe me..A++",1
